年級,科目,教授,年份,類別,名稱,路徑
大一,物理(二),籔下篤史,105學年,期末考,final,大一/物理(二)/籔下篤史/105學年/final.zip
大一,物理(二),籔下篤史,106學年,期中考,midterm1,大一/物理(二)/籔下篤史/106學年/midterm1.zip
大一,物理(二),籔下篤史,106學年,期中考,midterm2,大一/物理(二)/籔下篤史/106學年/midterm2.zip
大一,物理(二),籔下篤史,106學年,期中考,midterm3,大一/物理(二)/籔下篤史/106學年/midterm3.zip
大一,物理(二),籔下篤史,106學年,期末考,final,大一/物理(二)/籔下篤史/106學年/final.zip
大一,物理(二),籔下篤史,107學年,期中考,midterm1,大一/物理(二)/籔下篤史/107學年/midterm1.zip
大一,物理(二),蘇蓉蓉,103學年,期中考,midterm,大一/物理(二)/蘇蓉蓉/103學年/midterm.zip
大一,物理(二),蘇蓉蓉,103學年,期末考,final,大一/物理(二)/蘇蓉蓉/103學年/final.zip
大一,物理(二),簡文彬,101學年,期末考,final,大一/物理(二)/簡文彬/101學年/final.zip
大一,物理(二),鍾介文,109學年,作業,Homework1,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework1_E_Field.pdf
大一,物理(二),鍾介文,109學年,作業,Homework2,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework2_V_Field.pdf
大一,物理(二),鍾介文,109學年,作業,Homework3,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework3_E_in_media.pdf
大一,物理(二),鍾介文,109學年,作業,Homework4,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework4_B_Field.pdf
大一,物理(二),鍾介文,109學年,作業,Homework6,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework6_Maxwell.pdf
大一,物理(二),鍾介文,109學年,作業,Homework7,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework7_electronics.pdf
大一,物理(二),鍾介文,109學年,作業,Homework8,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework8_optics.pdf
大一,物理(二),鍾介文,109學年,作業,Homework9,大一/物理(二)/鍾介文/HW2021/20210219_PhysII_Homework9_ModernPhys.pdf
大一,物理(二),鍾介文,109學年,講義,lec0,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture0.pdf
大一,物理(二),鍾介文,109學年,講義,lec1-1,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture1-1_E_Source.pdf
大一,物理(二),鍾介文,109學年,講義,lec1-2,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture1-2_E_field.pdf
大一,物理(二),鍾介文,109學年,講義,lec1-3,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture1-3_E_potential.pdf
大一,物理(二),鍾介文,109學年,講義,lec1-4,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture1-4_E_media.pdf
大一,物理(二),鍾介文,109學年,講義,lec2-1,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture2-1_B_Source(3).pdf
大一,物理(二),鍾介文,109學年,講義,lec2-2,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture2-2_B_field(2).pdf
大一,物理(二),鍾介文,109學年,講義,lec2-3,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture2-3_B_potential(1).pdf
大一,物理(二),鍾介文,109學年,講義,lec2-4,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture2-4_B_Media(1).pdf
大一,物理(二),鍾介文,109學年,講義,lec3,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture3_Maxwell(1).pdf
大一,物理(二),鍾介文,109學年,講義,lec4,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture4_DC_circuits(2).pdf
大一,物理(二),鍾介文,109學年,講義,lec5,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture5_AC_circuits(1).pdf
大一,物理(二),鍾介文,109學年,講義,lec6,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture6_Light(1).pdf
大一,物理(二),鍾介文,109學年,講義,lec7,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture7_ModernPhys.pdf
大一,物理(二),鍾介文,109學年,講義,lec9,大一/物理(二)/鍾介文/SLIDES2021/PhysII_Lecture9_QM.pdf
大一,物理(二),鍾介文,108學年,期末考,final,大一/物理(二)/鍾介文/exam/2020/final.zip
大一,物理(二),鍾介文,108學年,期中考,midterm1,大一/物理(二)/鍾介文/exam/2020/midterm1.zip
大一,物理(二),鍾介文,108學年,期中考,midterm2,大一/物理(二)/鍾介文/exam/2020/midterm2.zip
大一,物理(二),鍾介文,109學年,期末考,final,大一/物理(二)/鍾介文/exam/2021/20210525_Phys_II_Final_Exam_instruction(6).pdf
大一,物理(二),鍾介文,109學年,期中考,midterm2,大一/物理(二)/鍾介文/exam/2021/20210504_Midterm_II_instruction.pdf
大一,物理(二),楊本立,106學年,期中考,midterm1,大一/物理(二)/楊本立/106學年/段考.pdf
大一,物理(二),楊本立,107學年,期中考,midterm1,大一/物理(二)/楊本立/107學年/第一次期中question_answer.pdf
大一,物理(二),楊本立,107學年,期中考,midterm2,大一/物理(二)/楊本立/107學年/第二次期中question_answer.pdf
大一,物理(二),楊本立,107學年,期末考,final,大一/物理(二)/楊本立/107學年/期末考question_answer.pdf
大一,物理(二),楊本立,108學年,期中考,exam1,大一/物理(二)/楊本立/108學年/Exam1_solution.pdf
大一,物理(二),楊本立,108學年,期中考,exam2,大一/物理(二)/楊本立/108學年/Exam2_solution.pdf
大一,物理(二),楊本立,108學年,期中考,exam3,大一/物理(二)/楊本立/108學年/Exam3_solution.pdf
大一,物理(二),楊本立,108學年,期中考,exam4,大一/物理(二)/楊本立/108學年/Exam4_solution.pdf
大一,物理(二),楊本立,108學年,期中考,exam5,大一/物理(二)/楊本立/108學年/Exam5_solution.pdf
大一,物理(二),陳衛國,108學年,期中考,exam1,大一/物理(二)/陳衛國/exam1.zip
大一,物理(二),陳衛國,108學年,期中考,exam2,大一/物理(二)/陳衛國/exam2.zip
大一,物理(二),陳衛國,108學年,期中考,exam3,大一/物理(二)/陳衛國/exam3.zip
大一,物理(二),陳衛國,108學年,期中考,exam4,大一/物理(二)/陳衛國/exam4.zip
大一,物理(二),陳文雄,101學年,期中考,midterm1,大一/物理(二)/陳文雄/midterm1.zip
大一,物理(二),陳文雄,101學年,期中考,midterm2,大一/物理(二)/陳文雄/midterm2.zip
大一,物理(二),陳文雄,101學年,期末考,final,大一/物理(二)/陳文雄/final.zip
大一,近代生物學(一),梁美智,106學年,講義,assess,大一/近代生物學(一)/Assess_ch1112131420.pdf
大一,近代生物學(一),梁美智,106學年,講義,keywords,大一/近代生物學(一)/CH12378keywords.pdf
大一,近代生物學(一),梁美智,106學年,講義,ch1,大一/近代生物學(一)/Chapter1.pdf
大一,近代生物學(一),梁美智,106學年,講義,ch2,大一/近代生物學(一)/Chapter2.pdf
大一,近代生物學(一),梁美智,106學年,講義,ch3,大一/近代生物學(一)/Chapter3.pdf
