科目,教授,年份,類別,類型,名稱,路徑
控制系統設計,吳炳飛,109學年,作業,zip,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW2.zip
控制系統設計,吳炳飛,109學年,作業,zip,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW3.zip
控制系統設計,吳炳飛,109學年,作業,zip,HW4,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW4.zip
控制系統設計,吳炳飛,109學年,作業,zip,HW5,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW5.zip
控制系統設計,吳炳飛,109學年,作業,zip,HW6,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW6.zip
通訊系統導論,陳伯寧,107學年,講義,pdf,Ch1,大三以上選修/通訊系統導論/陳伯寧/handout/chap1.pdf
通訊系統導論,陳伯寧,107學年,講義,pdf,Ch2,大三以上選修/通訊系統導論/陳伯寧/handout/chap2.pdf
通訊系統導論,陳伯寧,107學年,講義,pdf,Ch3,大三以上選修/通訊系統導論/陳伯寧/handout/chap3.pdf
通訊系統導論,陳伯寧,107學年,講義,pdf,Ch4,大三以上選修/通訊系統導論/陳伯寧/handout/chap4.pdf
通訊系統導論,陳伯寧,107學年,講義,pdf,Ch5,大三以上選修/通訊系統導論/陳伯寧/handout/chap5.pdf
通訊系統導論,陳伯寧,107學年,小考,zip,quiz1,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz1.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz2,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz2.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz3,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz3.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz4,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz4.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz5,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz5.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz6,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz6.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz7,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz7.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz8,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz8.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz9,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz9.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz10,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz10.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz11,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz11.zip
通訊系統導論,陳伯寧,107學年,小考,zip,quiz12,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz12.zip
通訊系統導論,陳伯寧,107學年,期中考,pdf,midterm1,大三以上選修/通訊系統導論/陳伯寧/Exam/midterm1-solution_2018fall(Oct.29)(ch1).pdf
通訊系統導論,陳伯寧,107學年,期中考,pdf,midterm2,大三以上選修/通訊系統導論/陳伯寧/Exam/midterm2-solution_2018fall(Dec.17)(ch2.3).pdf
通訊系統導論,陳伯寧,107學年,期末考,pdf,final_sample,大三以上選修/通訊系統導論/陳伯寧/quiz/final_sample18fall.pdf
通訊系統導論,陳伯寧,107學年,期末考,pdf,final,大三以上選修/通訊系統導論/陳伯寧/Exam/final-solution_2018fall(Jan.3)(ch4.5).pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz1,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz01_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz2,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz02_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz3,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz03_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz4,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz04_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz5,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz05_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz6,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz06_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz7,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz07_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz8,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz08_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz9,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz09_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz10,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz10_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz11,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz11_solution19fall.pdf
通訊系統導論,陳伯寧,108學年,小考,pdf,quiz12,大三以上選修/通訊系統導論/陳伯寧/quiz/2019小考/quiz12_solution19fall.pdf
