年級,科目,教授,年份,類別,名稱,路徑
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,Oscillator,大三以上選修/射頻電路原理與實驗/紀佩綾/Oscillator.pdf
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,AWR-basics,大三以上選修/射頻電路原理與實驗/紀佩綾/AWR-basics.pdf
大三以上,控制系統設計,吳炳飛,106學年,期中考,midterm,大三以上選修/控制系統設計/吳炳飛/Midterm/2017S/midterm.zip
大三以上,控制系統設計,吳炳飛,106學年,期末考,final,大三以上選修/控制系統設計/吳炳飛/Final/2017S/final.zip
大三以上,控制系統設計,吳炳飛,106學年,作業,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW1.zip
大三以上,控制系統設計,吳炳飛,106學年,作業,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW2.zip
大三以上,控制系統設計,吳炳飛,106學年,作業,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW3.zip
大三以上,控制系統設計,吳炳飛,106學年,作業,HW4,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW4.zip
大三以上,控制系統設計,吳炳飛,106學年,作業,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_3.doc
大三以上,控制系統設計,吳炳飛,106學年,作業,HW5,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_5.doc
大三以上,控制系統設計,吳炳飛,106學年,作業,HW6,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_6.doc
大三以上,控制系統設計,吳炳飛,106學年,作業,HW7,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_7.doc
大三以上,控制系統設計,吳炳飛,106學年,小考,quiz1,大三以上選修/控制系統設計/吳炳飛/Quiz/quiz1.zip
大三以上,控制系統設計,吳炳飛,106學年,小考,quiz2,大三以上選修/控制系統設計/吳炳飛/Quiz/quiz2.zip
大三以上,控制系統設計,吳炳飛,106學年,小考,quiz3,大三以上選修/控制系統設計/吳炳飛/Quiz/Quiz3_2017_Spring.pdf
大三以上,控制系統設計,吳炳飛,106學年,小考,quiz4,大三以上選修/控制系統設計/吳炳飛/Quiz/quiz4.zip
大三以上,控制系統設計,吳炳飛,107學年,期中考,midterm,大三以上選修/控制系統設計/吳炳飛/Midterm/2018S/CSD_Midterm.pdf
大三以上,控制系統設計,吳炳飛,107學年,期末考,final,大三以上選修/控制系統設計/吳炳飛/Final/2018S/CSD_Final.pdf
大三以上,控制系統設計,吳炳飛,107學年,作業,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework1.doc
大三以上,控制系統設計,吳炳飛,107學年,作業,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework2.doc
大三以上,控制系統設計,吳炳飛,107學年,作業,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework3.doc
大三以上,控制系統設計,吳炳飛,107學年,作業,HW4,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework4.doc
大三以上,控制系統設計,吳炳飛,107學年,作業,HW5,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework5.doc
大三以上,控制系統設計,吳炳飛,108學年,作業,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2019S/ACS-2019-Homework-1-ans.pdf
大三以上,控制系統設計,吳炳飛,108學年,作業,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2019S/ACS-2019-Homework-2-ans.pdf
大三以上,控制系統設計,吳炳飛,109學年,小考,quiz1,大三以上選修/控制系統設計/吳炳飛/2021S/quiz1.pdf
大三以上,控制系統設計,吳炳飛,109學年,作業,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW1.zip
大三以上,控制系統設計,吳炳飛,109學年,作業,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW2.zip
大三以上,控制系統設計,吳炳飛,109學年,作業,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW3.zip
大三以上,控制系統設計,吳炳飛,109學年,作業,HW4,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW4.zip
大三以上,控制系統設計,吳炳飛,109學年,作業,HW5,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW5.zip
大三以上,控制系統設計,吳炳飛,109學年,作業,HW6,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW6.zip
大三以上,通訊系統導論,陳伯寧,107學年,講義,Ch1,大三以上選修/通訊系統導論/陳伯寧/handout/chap1.pdf
大三以上,通訊系統導論,陳伯寧,107學年,講義,Ch2,大三以上選修/通訊系統導論/陳伯寧/handout/chap2.pdf
大三以上,通訊系統導論,陳伯寧,107學年,講義,Ch3,大三以上選修/通訊系統導論/陳伯寧/handout/chap3.pdf
大三以上,通訊系統導論,陳伯寧,107學年,講義,Ch4,大三以上選修/通訊系統導論/陳伯寧/handout/chap4.pdf
大三以上,通訊系統導論,陳伯寧,107學年,講義,Ch5,大三以上選修/通訊系統導論/陳伯寧/handout/chap5.pdf
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz1,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz1.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz2,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz2.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz3,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz3.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz4,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz4.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz5,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz5.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz6,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz6.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz7,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz7.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz8,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz8.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz9,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz9.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz10,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz10.zip
大三以上,通訊系統導論,陳伯寧,107學年,小考,quiz11,大三以上選修/通訊系統導論/陳伯寧/quiz/quiz11.zip
