科目,教授,年份,類別,類型,名稱,路徑
電磁學(二),黃謀勤,106學年,期末考,zip,final,大二/電磁學/黃謀勤_電磁學(二)/2017/final.zip
電磁學(二),黃謀勤,106學年,小考,jpg,quiz,大二/電磁學/黃謀勤_電磁學(二)/2017/quiz.jpg
電磁學(二),黃謀勤,107學年,小考,pdf,quiz1,大二/電磁學/黃謀勤_電磁學(二)/2018/2018quiz1.pdf
電磁學(二),黃謀勤,107學年,小考,docx,quiz2,大二/電磁學/黃謀勤_電磁學(二)/2018/quiz2.docx
電磁學(二),黃謀勤,107學年,期中考,pdf,midterm,大二/電磁學/黃謀勤_電磁學(二)/2018/2018mid.pdf
電磁學(二),黃謀勤,107學年,作業,pdf,hw1,大二/電磁學/黃謀勤_電磁學(二)/HW/2017F/hw1.pdf
電磁學(二),黃謀勤,107學年,作業,pdf,hw2,大二/電磁學/黃謀勤_電磁學(二)/HW/2017F/hw2.pdf
電磁學(二),黃謀勤,107學年,作業,pdf,hw3,大二/電磁學/黃謀勤_電磁學(二)/HW/2017F/hw3.pdf
電磁學(二),黃謀勤,108學年,期末考,zip,final,大二/電磁學/黃謀勤_電磁學(二)/2019/final.zip
電磁學(二),黃謀勤,109學年,期中考,zip,midterm,大二/電磁學/黃謀勤_電磁學(二)/2020/midterm.zip
電磁學(二),黃謀勤,109學年,期末考,zip,final,大二/電磁學/黃謀勤_電磁學(二)/2020/final.zip
電磁學(二),黃謀勤,109學年,作業,pdf,hw1,大二/電磁學/黃謀勤_電磁學(二)/2020/HW/HW1.pdf
電磁學(二),黃謀勤,109學年,作業,pdf,hw2,大二/電磁學/黃謀勤_電磁學(二)/2020/HW/HW2.pdf
電磁學(二),黃謀勤,109學年,作業,pdf,hw3,大二/電磁學/黃謀勤_電磁學(二)/2020/HW/HW3.pdf
電磁學(二),黃謀勤,109學年,作業,pdf,hw4,大二/電磁學/黃謀勤_電磁學(二)/2020/HW/HW4.pdf
電磁學(二),黃謀勤,109學年,小考,zip,quiz,大二/電磁學/黃謀勤_電磁學(二)/2020/quiz.zip
電磁學(二),黃謀勤,109學年,大抄,zip,大抄,大二/電磁學/黃謀勤_電磁學(二)/大抄.zip
電路學,李育民,100學年,作業,pdf,ch1_hw,大二/電路學/李育民/homework/2011/Chapter01.pdf
電路學,李育民,100學年,作業,pdf,ch2_hw,大二/電路學/李育民/homework/2011/Chapter02.pdf
電路學,李育民,100學年,作業,pdf,ch3_hw,大二/電路學/李育民/homework/2011/Chapter03.pdf
電路學,李育民,100學年,作業,pdf,ch4_hw,大二/電路學/李育民/homework/2011/Chapter04.pdf
電路學,李育民,100學年,作業,pdf,ch5_hw,大二/電路學/李育民/homework/2011/Chapter05.pdf
電路學,李育民,100學年,作業,pdf,ch6_hw,大二/電路學/李育民/homework/2011/Chapter06.pdf
電路學,李育民,100學年,作業,pdf,ch7_hw,大二/電路學/李育民/homework/2011/Chapter07.pdf
電路學,李育民,100學年,作業,pdf,ch8_hw,大二/電路學/李育民/homework/2011/Chapter08.pdf
電路學,李育民,100學年,作業,pdf,ch9_hw,大二/電路學/李育民/homework/2011/Chapter09.pdf
電路學,李育民,100學年,作業,pdf,ch10_hw,大二/電路學/李育民/homework/2011/Chapter10.pdf
電路學,李育民,100學年,作業,pdf,ch11_hw,大二/電路學/李育民/homework/2011/Chapter11.pdf
電路學,李育民,100學年,作業,pdf,ch12_hw,大二/電路學/李育民/homework/2011/Chapter12.pdf
電路學,李育民,100學年,作業,pdf,ch13_hw,大二/電路學/李育民/homework/2011/Chapter13.pdf
電路學,李育民,100學年,作業,pdf,ch14_hw,大二/電路學/李育民/homework/2011/Chapter14.pdf
電路學,李育民,100學年,作業,pdf,ch15_hw,大二/電路學/李育民/homework/2011/Chapter15.pdf
